preflop,flop,turn,river,total
"(0.0287, 0.0287)","(0, 0.0287)","(0, 0.0287)","(0, 0.0287)",0.0287
"(0.13, 0.13)","(0, 0.13)","(0, 0.13)","(0, 0.13)",0.13
"(0.0875, 0.0875)","(0, 0.0875)","(0, 0.0875)","(0, 0.0875)",0.0875
"(0.0234, 0.0234)","(0, 0.0234)","(0, 0.0234)","(0, 0.0234)",0.0234
"(0.095, 0.095)","(0.0, 0.095)","(0, 0.095)","(0, 0.095)",0.095
"(0.095, 0.095)","(0.05, 0.14500000000000002)","(0, 0.14500000000000002)","(0, 0.14500000000000002)",0.14500000000000002
"(0.0625, 0.0625)","(0.12, 0.1825)","(0.0, 0.1825)","(0.8175, 1.0)",1.0
"(0.0625, 0.0625)","(0.12, 0.1825)","(0.0, 0.1825)","(0.0, 0.1825)",0.1825
"(0.0802, 0.0802)","(0.0675, 0.1477)","(0, 0.1477)","(0, 0.1477)",0.1477
"(0.0802, 0.0802)","(0.0, 0.0802)","(0, 0.0802)","(0, 0.0802)",0.0802
"(0.072, 0.072)","(0.12, 0.192)","(0, 0.192)","(0, 0.192)",0.192
"(0.2675, 0.2675)","(0, 0.2675)","(0, 0.2675)","(0, 0.2675)",0.2675
"(0.0232, 0.0232)","(0.015, 0.0382)","(0.0, 0.0382)","(0.0, 0.0382)",0.0382
"(0.0222, 0.0222)","(0.015, 0.0372)","(0.063, 0.1002)","(0.0, 0.1002)",0.1002
"(0.0287, 0.0287)","(0.0999, 0.1286)","(0.0, 0.1286)","(0.0999, 0.22849999999999998)",0.22849999999999998
"(0.065, 0.065)","(0.0555, 0.1205)","(0.1325, 0.253)","(0.0, 0.253)",0.253
"(0.0225, 0.0225)","(0.04, 0.0625)","(0.1, 0.1625)","(0.2, 0.36250000000000004)",0.36250000000000004
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.07, 0.0925)","(0, 0.0925)",0.0925
"(0.02, 0.02)","(0.0, 0.02)","(0.081, 0.101)","(0, 0.101)",0.101
"(0.0225, 0.0225)","(0.0375, 0.06)","(0.035, 0.095)","(0.0, 0.095)",0.095
"(0.02, 0.02)","(0.0, 0.02)","(0.0, 0.02)","(0.0225, 0.042499999999999996)",0.042499999999999996
"(0.0, 0.0)","(0.01, 0.01)","(0.01, 0.02)","(0.0, 0.02)",0.02
"(0.02, 0.02)","(0.045, 0.065)","(0.2025, 0.2675)","(0, 0.2675)",0.2675
"(0.02, 0.02)","(0.045, 0.065)","(0.0, 0.065)","(0, 0.065)",0.065
"(0.025, 0.025)","(0.0, 0.025)","(0.06, 0.08499999999999999)","(0.12, 0.205)",0.205
"(0.025, 0.025)","(0.0, 0.025)","(0.06, 0.08499999999999999)","(0.0, 0.08499999999999999)",0.08499999999999999
"(0.02, 0.02)","(0.0135, 0.0335)","(0.072, 0.1055)","(0, 0.1055)",0.1055
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0137, 0.036199999999999996)","(0, 0.036199999999999996)",0.036199999999999996
"(0.0244, 0.0244)","(0.0175, 0.04190000000000001)","(0, 0.04190000000000001)","(0, 0.04190000000000001)",0.04190000000000001
"(0.0244, 0.0244)","(0.0, 0.0244)","(0, 0.0244)","(0, 0.0244)",0.0244
"(0.085, 0.085)","(0.0437, 0.1287)","(0, 0.1287)","(0, 0.1287)",0.1287
"(0.02, 0.02)","(0.0405, 0.0605)","(0.05, 0.1105)","(0.0, 0.1105)",0.1105
"(0.0675, 0.0675)","(0.0375, 0.10500000000000001)","(0.0, 0.10500000000000001)","(0, 0.10500000000000001)",0.10500000000000001
"(0.0675, 0.0675)","(0.0375, 0.10500000000000001)","(0.1125, 0.21750000000000003)","(0, 0.21750000000000003)",0.21750000000000003
"(0.0681, 0.0681)","(0, 0.0681)","(0, 0.0681)","(0, 0.0681)",0.0681
"(0.02, 0.02)","(0.0135, 0.0335)","(0.0575, 0.091)","(0, 0.091)",0.091
"(0.0215, 0.0215)","(0.0, 0.0215)","(0.044, 0.0655)","(0.11, 0.1755)",0.1755
"(0.0215, 0.0215)","(0.0, 0.0215)","(0.044, 0.0655)","(0.0, 0.0655)",0.0655
"(0.1129, 0.1129)","(0.1179, 0.2308)","(0.0, 0.2308)","(0.1675, 0.3983)",0.3983
"(0.024, 0.024)","(0.016, 0.04)","(0, 0.04)","(0, 0.04)",0.04
"(0.024, 0.024)","(0.0, 0.024)","(0, 0.024)","(0, 0.024)",0.024
"(0.03, 0.03)","(0.0, 0.03)","(0.0, 0.03)","(0.04, 0.07)",0.07
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.09, 0.11249999999999999)","(0.4, 0.5125)",0.5125
"(0.025, 0.025)","(0.0, 0.025)","(0.0275, 0.052500000000000005)","(0, 0.052500000000000005)",0.052500000000000005
"(0.3412, 0.3412)","(0, 0.3412)","(0, 0.3412)","(0, 0.3412)",0.3412
"(0.135, 0.135)","(0, 0.135)","(0, 0.135)","(0, 0.135)",0.135
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.05, 0.07250000000000001)","(0.4875, 0.56)",0.56
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.05, 0.07250000000000001)","(0.15, 0.2225)",0.2225
"(0.03, 0.03)","(0.0, 0.03)","(0.0, 0.03)","(0.06, 0.09)",0.09
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.048, 0.07050000000000001)","(0, 0.07050000000000001)",0.07050000000000001
"(0.1987, 0.1987)","(0.2062, 0.4049)","(0.0, 0.4049)","(0.5951, 1.0)",1.0
"(0.1987, 0.1987)","(0.2062, 0.4049)","(0.0, 0.4049)","(0.0, 0.4049)",0.4049
"(0.02, 0.02)","(0.0275, 0.0475)","(0.0, 0.0475)","(0.165, 0.21250000000000002)",0.21250000000000002
"(0.02, 0.02)","(0.0275, 0.0475)","(0.0, 0.0475)","(0.0, 0.0475)",0.0475
"(0.0675, 0.0675)","(0.0, 0.0675)","(0.3, 0.3675)","(0.6325, 1.0)",1.0
