blinds,stacks,pre_flop_bets,flop_bets,turn_bets,river_bets
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Budd': 225}","{'Budd': 0, 'MrBlue': 0}","{'Budd': 250, 'MrBlue': 0}",{}
"[50, 100]","[10000, 10000]","{'Pluribus': 225, 'MrWhite': 225}","{'MrWhite': 0, 'Pluribus': 250}",{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 10000, 'MrBlue': 10000}",{},{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 225, 'MrWhite': 225}","{'MrWhite': 0, 'Pluribus': 0}","{'MrWhite': 375, 'Pluribus': 0}",{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Pluribus': 675}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrWhite': 1330, 'Hattori': 1330}","{'Hattori': 1800, 'MrWhite': 0}",{},{}
"[50, 100]","[10000, 10000]","{'Budd': 225, 'MrOrange': 700}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 750, 'Hattori': 750}","{'MrOrange': 0, 'Hattori': 0}","{'MrOrange': 2250, 'Hattori': 0}",{}
"[50, 100]","[10000, 10000]","{'Pluribus': 225, 'MrWhite': 225}","{'MrWhite': 250, 'Pluribus': 250}","{'MrWhite': 1000, 'Pluribus': 1000}","{'MrWhite': 0, 'Pluribus': 0}"
"[50, 100]","[10000, 10000]","{'Hattori': 235, 'MrBlue': 769}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 215, 'Budd': 215}","{'Budd': 0, 'MrOrange': 0}","{'Budd': 0, 'MrOrange': 150}",{}
"[50, 100]","[10000, 10000]","{'Budd': 1200, 'MrOrange': 1200}","{'MrOrange': 825, 'Budd': 825}","{'MrOrange': 1850, 'Budd': 1850}","{'MrOrange': 6125, 'Budd': 6125}"
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'Hattori': 200}","{'Hattori': 225, 'Pluribus': 225}","{'Hattori': 0, 'Pluribus': 0}","{'Hattori': 900, 'Pluribus': 0}"
"[50, 100]","[10000, 10000]","{'Hattori': 1400, 'MrBlue': 1400}","{'Hattori': 1400, 'MrBlue': 0}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 300, 'Pluribus': 825}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Pluribus': 675}",{},{},{}
"[50, 100]","[10000, 10000]","{'Budd': 225, 'MrBlue': 225}","{'MrBlue': 175, 'Budd': 175}","{'MrBlue': 0, 'Budd': 1275}",{}
"[50, 100]","[10000, 10000]","{'Hattori': 1225, 'Pluribus': 1225}","{'Pluribus': 625, 'Hattori': 625}","{'Pluribus': 2812, 'Hattori': 2812}","{'Pluribus': 5338, 'Hattori': 5338}"
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Budd': 225}","{'Budd': 0, 'MrBlue': 0}","{'Budd': 0, 'MrBlue': 375}",{}
"[50, 100]","[10000, 10000]","{'Budd': 300, 'MrWhite': 300}","{'Budd': 175, 'MrWhite': 175}","{'Budd': 575, 'MrWhite': 0}",{}
"[50, 100]","[10000, 10000]","{'Pluribus': 2200, 'MrWhite': 4450}",{},{},{}
"[50, 100]","[10000, 10000]","{'Budd': 225, 'Hattori': 225}","{'Hattori': 0, 'Budd': 0}","{'Hattori': 0, 'Budd': 0}","{'Hattori': 0, 'Budd': 0}"
"[50, 100]","[10000, 10000]","{'Hattori': 769, 'MrBlue': 769}","{'Hattori': 0, 'MrBlue': 0}","{'Hattori': 1200, 'MrBlue': 0}",{}
"[50, 100]","[10000, 10000]","{'Hattori': 1225, 'Pluribus': 1225}","{'Pluribus': 1250, 'Hattori': 1250}","{'Pluribus': 0, 'Hattori': 0}","{'Pluribus': 2500, 'Hattori': 0}"
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'Budd': 225}","{'Budd': 0, 'MrWhite': 0}","{'Budd': 0, 'MrWhite': 0}","{'Budd': 0, 'MrWhite': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrWhite': 725}",{},{},{}
"[50, 100]","[10000, 10000]","{'Budd': 675, 'MrWhite': 675}","{'Budd': 0, 'MrWhite': 0}","{'Budd': 0, 'MrWhite': 0}","{'Budd': 0, 'MrWhite': 0}"
"[50, 100]","[10000, 10000]","{'MrOrange': 224, 'MrBlue': 224}","{'MrBlue': 0, 'MrOrange': 0}","{'MrBlue': 0, 'MrOrange': 300}",{}
"[50, 100]","[10000, 10000]","{'Hattori': 211, 'Budd': 211}","{'Budd': 0, 'Hattori': 110}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrWhite': 725}",{},{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 1325, 'Hattori': 1325}","{'Hattori': 0, 'Pluribus': 0}","{'Hattori': 0, 'Pluribus': 0}","{'Hattori': 800, 'Pluribus': 0}"
"[50, 100]","[10000, 10000]","{'Budd': 225, 'MrBlue': 225}","{'MrBlue': 0, 'Budd': 175}",{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 250, 'Budd': 250}","{'Pluribus': 950, 'Budd': 150}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Pluribus': 225}","{'MrBlue': 0, 'Pluribus': 600}",{},{}
"[50, 100]","[10000, 10000]","{'Budd': 250, 'MrWhite': 850}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 250, 'Hattori': 250}","{'MrOrange': 0, 'Hattori': 0}","{'MrOrange': 0, 'Hattori': 0}","{'MrOrange': 500, 'Hattori': 500}"
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'MrBlue': 225}","{'MrBlue': 0, 'MrWhite': 0}","{'MrBlue': 200, 'MrWhite': 200}","{'MrBlue': 675, 'MrWhite': 0}"
"[50, 100]","[10000, 10000]","{'MrOrange': 210, 'Pluribus': 210}","{'Pluribus': 150, 'MrOrange': 150}","{'Pluribus': 0, 'MrOrange': 0}","{'Pluribus': 0, 'MrOrange': 0}"
"[50, 100]","[10000, 10000]","{'Hattori': 211, 'Pluribus': 1200}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrWhite': 225}","{'MrWhite': 0, 'MrBlue': 0}","{'MrWhite': 0, 'MrBlue': 0}","{'MrWhite': 375, 'MrBlue': 375}"
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'MrOrange': 200}","{'MrOrange': 0, 'Pluribus': 0}","{'MrOrange': 800, 'Pluribus': 800}","{'MrOrange': 1750, 'Pluribus': 0}"
"[50, 100]","[10000, 10000]","{'Hattori': 235, 'MrBlue': 235}","{'Hattori': 0, 'MrBlue': 0}","{'Hattori': 150, 'MrBlue': 0}",{}
"[50, 100]","[10000, 10000]","{'Pluribus': 350, 'Budd': 350}","{'Pluribus': 0, 'Budd': 0}","{'Pluribus': 0, 'Budd': 0}","{'Pluribus': 0, 'Budd': 350}"
"[50, 100]","[10000, 10000]","{'MrBlue': 720, 'Budd': 720}","{'MrBlue': 550, 'Budd': 550}","{'MrBlue': 1800, 'Budd': 1800}","{'MrBlue': 0, 'Budd': 0}"
"[50, 100]","[10000, 10000]","{'MrOrange': 250, 'Hattori': 250}","{'MrOrange': 150, 'Hattori': 150}","{'MrOrange': 0, 'Hattori': 0}","{'MrOrange': 1440, 'Hattori': 1440}"
"[50, 100]","[10000, 10000]","{'Hattori': 225, 'MrBlue': 225}","{'MrBlue': 0, 'Hattori': 0}","{'MrBlue': 0, 'Hattori': 0}","{'MrBlue': 0, 'Hattori': 0}"
"[50, 100]","[10000, 10000]","{'MrOrange': 300, 'Hattori': 300}","{'MrOrange': 0, 'Hattori': 0}","{'MrOrange': 0, 'Hattori': 0}","{'MrOrange': 0, 'Hattori': 0}"
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'MrBlue': 200}","{'MrBlue': 0, 'Pluribus': 0}","{'MrBlue': 0, 'Pluribus': 0}","{'MrBlue': 0, 'Pluribus': 0}"
"[50, 100]","[10000, 10000]","{'Budd': 225, 'MrBlue': 225}","{'MrBlue': 0, 'Budd': 0}","{'MrBlue': 0, 'Budd': 225}",{}
"[50, 100]","[10000, 10000]","{'Hattori': 211, 'Budd': 211}","{'Budd': 0, 'Hattori': 125}",{},{}
"[50, 100]","[10000, 10000]","{'Hattori': 200, 'MrWhite': 200}","{'MrWhite': 110, 'Hattori': 110}","{'MrWhite': 0, 'Hattori': 0}","{'MrWhite': 0, 'Hattori': 670}"
"[50, 100]","[10000, 10000]","{'Pluribus': 1200, 'MrOrange': 1200}","{'MrOrange': 750, 'Pluribus': 750}","{'MrOrange': 0, 'Pluribus': 1975}",{}
"[50, 100]","[10000, 10000]","{'MrOrange': 1075, 'MrBlue': 1075}","{'MrBlue': 800, 'MrOrange': 800}","{'MrBlue': 2100, 'MrOrange': 2100}","{'MrBlue': 0, 'MrOrange': 0}"
"[50, 100]","[10000, 10000]","{'Hattori': 225, 'Pluribus': 225}","{'Pluribus': 0, 'Hattori': 0}","{'Pluribus': 750, 'Hattori': 750}","{'Pluribus': 1500, 'Hattori': 1500}"
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Pluribus': 225}","{'MrBlue': 250, 'Pluribus': 250}","{'MrBlue': 0, 'Pluribus': 0}","{'MrBlue': 0, 'Pluribus': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrOrange': 1250}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 224, 'MrBlue': 224}","{'MrBlue': 0, 'MrOrange': 0}","{'MrBlue': 0, 'MrOrange': 0}","{'MrBlue': 0, 'MrOrange': 0}"
"[50, 100]","[10000, 10000]","{'Budd': 225, 'MrOrange': 225}","{'Budd': 0, 'MrOrange': 0}","{'Budd': 900, 'MrOrange': 0}",{}
"[50, 100]","[10000, 10000]","{'Hattori': 211, 'MrBlue': 766}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Hattori': 225}","{'Hattori': 0, 'MrBlue': 0}","{'Hattori': 150, 'MrBlue': 150}","{'Hattori': 600, 'MrBlue': 600}"
"[50, 100]","[10000, 10000]","{'MrOrange': 0, 'Hattori': 350}",{},{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 225, 'MrWhite': 225}","{'MrWhite': 0, 'Pluribus': 0}","{'MrWhite': 137, 'Pluribus': 137}","{'MrWhite': 824, 'Pluribus': 824}"
"[50, 100]","[10000, 10000]","{'Hattori': 225, 'MrBlue': 225}","{'MrBlue': 0, 'Hattori': 125}",{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 225, 'MrBrown': 225}","{'MrBrown': 0, 'Pluribus': 0}","{'MrBrown': 375, 'Pluribus': 375}","{'MrBrown': 937, 'Pluribus': 0}"
"[50, 100]","[10000, 10000]","{'MrBrown': 2300, 'Bill': 1100}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrPink': 250, 'Eddie': 250}","{'Eddie': 0, 'MrPink': 0}","{'Eddie': 0, 'MrPink': 0}","{'Eddie': 0, 'MrPink': 0}"
"[50, 100]","[10000, 10000]","{'Bill': 225, 'MrBrown': 850}",{},{},{}
"[50, 100]","[10000, 10000]","{'Eddie': 850, 'Bill': 850}","{'Bill': 0, 'Eddie': 0}","{'Bill': 1350, 'Eddie': 1350}","{'Bill': 0, 'Eddie': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 975, 'Pluribus': 975}","{'Pluribus': 1000, 'MrBlue': 0}",{},{}
"[50, 100]","[10000, 10000]","{'MrPink': 250, 'Pluribus': 250}","{'Pluribus': 600, 'MrPink': 600}","{'Pluribus': 0, 'MrPink': 0}","{'Pluribus': 0, 'MrPink': 0}"
"[50, 100]","[10000, 10000]","{'MrPink': 210, 'Eddie': 210}","{'Eddie': 0, 'MrPink': 260}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 300, 'MrPink': 300}","{'Bill': 450, 'MrPink': 0}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 2425, 'MrPink': 1150}",{},{},{}
"[50, 100]","[10000, 10000]","{'Bill': 300, 'MrPink': 300}","{'Bill': 0, 'MrPink': 0}","{'Bill': 450, 'MrPink': 0}",{}
"[50, 100]","[10000, 10000]","{'MrBlue': 700, 'MrPink': 700}","{'MrBlue': 500, 'MrPink': 500}","{'MrBlue': 1750, 'MrPink': 1750}","{'MrBlue': 0, 'MrPink': 0}"
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'MrBlue': 200}","{'MrBlue': 0, 'Pluribus': 0}","{'MrBlue': 0, 'Pluribus': 225}",{}
"[50, 100]","[10000, 10000]","{'Eddie': 200, 'MrPink': 1050}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Eddie': 225}","{'Eddie': 0, 'MrBlue': 0}","{'Eddie': 0, 'MrBlue': 0}","{'Eddie': 150, 'MrBlue': 0}"
"[50, 100]","[10000, 10000]","{'MrBlue': 2290, 'Bill': 700}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrPink': 650, 'MrBrown': 650}","{'MrPink': 0, 'MrBrown': 0}","{'MrPink': 450, 'MrBrown': 450}","{'MrPink': 0, 'MrBrown': 1175}"
